Year,Code,Leaving,Entrant
2009,1,87184,211830
2009,3,136718,334048
2009,2,261658,589422
2009,5,272674,546332
2009,4,895622,1783594
2011,1,109612,243712
2011,3,162484,358322
2011,2,296282,705382
2011,5,270714,608020
2011,4,891230,1914760
2010,1,89358,211166
2010,3,141198,352296
2010,2,267668,665092
2010,5,265610,561542
2010,4,894738,1813706
2013,1,106714,270832
2013,3,155078,452560
2013,2,298740,850208
2013,5,262318,663238
2013,4,837026,2218252
2012,1,102764,277704
2012,3,167942,423456
2012,2,297600,805354
2012,5,271310,666176
2012,4,912566,2236222
